Airport,Type,Area,Year,Month,City,Arrive | From,Departure | To,Transit
BKK,Passenger,International,2012,January,-,1669678,1659490,128927
BKK,Passenger,International,2012,Febuary,-,1597636,1647357,109180
BKK,Passenger,International,2012,March,-,1708266,1806442,120321
BKK,Passenger,International,2012,April,-,1674283,1717023,103141
BKK,Passenger,International,2012,May,-,1497178,1544977,109083
BKK,Passenger,International,2012,June,-,1536342,1468194,113733
BKK,Passenger,International,2012,July,-,1674991,1636752,123967
BKK,Passenger,International,2012,August,-,1678314,1726363,111478
BKK,Passenger,International,2012,September,-,1519247,1535169,118374
BKK,Passenger,International,2012,October,-,1567482,1500434,115524
BKK,Passenger,International,2012,November,-,1746827,1635309,96261
BKK,Passenger,International,2012,December,-,1881218,1729367,99721
BKK,Passenger,Domestic,2012,January,-,800250,736097,652
BKK,Passenger,Domestic,2012,Febuary,-,727415,697623,677
BKK,Passenger,Domestic,2012,March,-,623667,584914,733
BKK,Passenger,Domestic,2012,April,-,574265,555753,755
BKK,Passenger,Domestic,2012,May,-,505263,479722,296
BKK,Passenger,Domestic,2012,June,-,453957,460679,791
BKK,Passenger,Domestic,2012,July,-,484994,496243,1246
BKK,Passenger,Domestic,2012,August,-,562623,528456,2887
BKK,Passenger,Domestic,2012,September,-,437149,435133,403
BKK,Passenger,Domestic,2012,October,-,335232,333958,284
BKK,Passenger,Domestic,2012,November,-,350494,353699,372
BKK,Passenger,Domestic,2012,December,-,363671,402992,934
BKK,Flight,International,2012,January,-,10059,10087,
BKK,Flight,International,2012,Febuary,-,9426,9416,
BKK,Flight,International,2012,March,-,9995,10039,
BKK,Flight,International,2012,April,-,9626,9610,
BKK,Flight,International,2012,May,-,9470,9470,
BKK,Flight,International,2012,June,-,9031,9040,
BKK,Flight,International,2012,July,-,9566,9566,
BKK,Flight,International,2012,August,-,9750,9742,
BKK,Flight,International,2012,September,-,9488,9464,
BKK,Flight,International,2012,October,-,8845,8846,
BKK,Flight,International,2012,November,-,9055,9111,
BKK,Flight,International,2012,December,-,9533,9573,
BKK,Flight,Domestic,2012,January,-,5454,5437,
BKK,Flight,Domestic,2012,Febuary,-,4981,4975,
BKK,Flight,Domestic,2012,March,-,4205,4193,
BKK,Flight,Domestic,2012,April,-,4030,4037,
BKK,Flight,Domestic,2012,May,-,3732,3735,
BKK,Flight,Domestic,2012,June,-,3360,3370,
BKK,Flight,Domestic,2012,July,-,3432,3430,
BKK,Flight,Domestic,2012,August,-,3589,3588,
BKK,Flight,Domestic,2012,September,-,3255,3288,
BKK,Flight,Domestic,2012,October,-,2307,2312,
BKK,Flight,Domestic,2012,November,-,2335,2276,
BKK,Flight,Domestic,2012,December,-,2562,2508,
BKK,Freight,International,2012,January,-,46353,58541,2476
BKK,Freight,International,2012,Febuary,-,49891,59682,3001
BKK,Freight,International,2012,March,-,55127,67495,3050
BKK,Freight,International,2012,April,-,49580,60367,2861
BKK,Freight,International,2012,May,-,49473,64437,2721
BKK,Freight,International,2012,June,-,47868,60597,3013
BKK,Freight,International,2012,July,-,48778,57829,2870
BKK,Freight,International,2012,August,-,46382,54409,2876
BKK,Freight,International,2012,September,-,49020,56724,2746
BKK,Freight,International,2012,October,-,48040,55733,2641
BKK,Freight,International,2012,November,-,46263,56064,2702
BKK,Freight,International,2012,December,-,45328,55778,3285
BKK,Freight,Domestic,2012,January,-,1871,3645,0
BKK,Freight,Domestic,2012,Febuary,-,1763,3582,0
BKK,Freight,Domestic,2012,March,-,1676,3393,0
BKK,Freight,Domestic,2012,April,-,1288,2762,0
BKK,Freight,Domestic,2012,May,-,1342,2962,0
BKK,Freight,Domestic,2012,June,-,1120,2821,1
BKK,Freight,Domestic,2012,July,-,1327,2760,6
BKK,Freight,Domestic,2012,August,-,1240,2701,3
BKK,Freight,Domestic,2012,September,-,1352,2748,0
BKK,Freight,Domestic,2012,October,-,1452,2950,0
BKK,Freight,Domestic,2012,November,-,1578,3000,0
BKK,Freight,Domestic,2012,December,-,1680,2908,0
BKK,City,International,2012,-,Singapore,1643353,1764001,
BKK,City,International,2012,-,Hong Kong,1676347,1590848,
BKK,City,International,2012,-,Seoul/Incheon,1046412,1048733,
BKK,City,International,2012,-,Tokyo/Narita,782520,792782,
BKK,City,International,2012,-,Kuala Lumpur,730488,723193,
BKK,City,International,2012,-,Taipei,567373,567484,
BKK,City,International,2012,-,Dubai,529568,536823,
BKK,City,International,2012,-,Ho Chi Minh City,481846,459219,
BKK,City,International,2012,-,Guangzhou,474129,450328,
BKK,City,International,2012,-,Shanghai/Pudong,463519,449658,
BKK,City,International,2012,-,Others,11355907,11223808,
BKK,City,Domestic,2012,-,Phuket,1688507,1612223,
BKK,City,Domestic,2012,-,Chiang Mai,1265265,1287068,
BKK,City,Domestic,2012,-,Samui,746966,679281,
BKK,City,Domestic,2012,-,Hat Yai,529135,518715,
BKK,City,Domestic,2012,-,Krabi,369222,355634,
BKK,City,Domestic,2012,-,Chiang Rai,327980,337283,
BKK,City,Domestic,2012,-,Udon Thani,279185,284761,
BKK,City,Domestic,2012,-,Khon Kean,254935,258677,
BKK,City,Domestic,2012,-,Surat Thani,193306,189854,
BKK,City,Domestic,2012,-,Ubon Ratchathani,167139,163695,
BKK,City,Domestic,2012,-,Others,397340,378078,
BKK,Passenger,International,2013,January,-,1801152,1810252,95921
BKK,Passenger,International,2013,Febuary,-,1705106,1746888,87189
BKK,Passenger,International,2013,March,-,1852253,1944358,97583
BKK,Passenger,International,2013,April,-,1712427,1776439,94446
BKK,Passenger,International,2013,May,-,1554373,1612199,98419
BKK,Passenger,International,2013,June,-,1618316,1554053,109303
BKK,Passenger,International,2013,July,-,1715405,1648695,114456
BKK,Passenger,International,2013,August,-,1751349,1830121,106821
BKK,Passenger,International,2013,September,-,1577492,1599488,108665
BKK,Passenger,International,2013,October,-,1704479,1630514,101636
BKK,Passenger,International,2013,November,-,1816759,1726568,84983
BKK,Passenger,International,2013,December,-,1893862,1720304,81609
BKK,Passenger,Domestic,2013,January,-,417017,382301,748
BKK,Passenger,Domestic,2013,Febuary,-,396398,377202,1622
BKK,Passenger,Domestic,2013,March,-,417360,391086,945
BKK,Passenger,Domestic,2013,April,-,373807,348408,642
BKK,Passenger,Domestic,2013,May,-,358910,328751,580
BKK,Passenger,Domestic,2013,June,-,303814,312284,1073
BKK,Passenger,Domestic,2013,July,-,355320,363772,1352
BKK,Passenger,Domestic,2013,August,-,419383,380985,2322
BKK,Passenger,Domestic,2013,September,-,365406,361226,1035
BKK,Passenger,Domestic,2013,October,-,357147,359530,578
BKK,Passenger,Domestic,2013,November,-,355892,360671,2082
BKK,Passenger,Domestic,2013,December,-,355708,423042,1169
BKK,Flight,International,2013,January,-,9630,9588,
